iter	RMSE
0	1.332960398
1	1.312871941
2	1.291728908
3	1.272422454
4	1.254006351
5	1.235515348
6	1.216776636
7	1.199195148
8	1.181002512
9	1.164483825
10	1.147747607
11	1.131299352
12	1.115739049
13	1.100089686
14	1.084270892
15	1.069693879
16	1.05594544
17	1.042227295
18	1.028270492
19	1.015094844
20	1.002009645
21	0.9894904972
22	0.9770009724
23	0.9653388426
24	0.953382
25	0.9426253718
26	0.9316288454
27	0.9215174092
28	0.910588161
29	0.9001886356
30	0.8903434466
31	0.880672006
32	0.8712215146
33	0.8626955798
34	0.8544846002
35	0.8455220477
36	0.8369439086
37	0.8280521505
38	0.8208054022
39	0.8128892197
40	0.8055877483
41	0.7980277522
42	0.7904869383
43	0.7836384345
44	0.7769316852
45	0.7710660918
46	0.7646942344
47	0.7580682428
48	0.7519076012
49	0.7464734523
50	0.7405194493
51	0.7347437496
52	0.7294587902
53	0.7239446289
54	0.7185095051
55	0.7131714096
56	0.7084465121
57	0.7036841773
58	0.6987129263
59	0.6955526268
60	0.6907107849
61	0.6866212094
62	0.682285628
63	0.6782784674
64	0.6744413823
65	0.6712185187
66	0.66764311
67	0.6638713625
68	0.6610141028
69	0.6577619084
70	0.6544780946
71	0.6514702678
72	0.6487487251
73	0.6455473599
74	0.642633828
75	0.6399618588
76	0.6367576398
77	0.6341415154
78	0.6321841733
79	0.6295481207
80	0.6269368351
81	0.6244130595
82	0.6221332632
83	0.6199008737
84	0.6182051479
85	0.6161642143
86	0.6142900517
87	0.6122547347
88	0.6106219382
89	0.6089010269
90	0.6067741747
91	0.6048969099
92	0.6032496913
93	0.6014859215
94	0.6000616816
95	0.5983858768
96	0.597318081
97	0.5957385346
98	0.5942876282
99	0.5930043155
100	0.5916308318
101	0.5904821755
102	0.5894167848
103	0.5881924912
104	0.5869984958
105	0.5856492537
106	0.5844953971
107	0.5833935772
108	0.582350475
109	0.5813106248
110	0.5803535124
111	0.5793327741
112	0.5783636191
113	0.5775057202
114	0.5765138738
115	0.5754471685
116	0.5745292078
117	0.573835862
118	0.5730129519
119	0.5722962169
120	0.5716030944
121	0.5708172508
122	0.5699616005
123	0.5697263218
124	0.5688464191
125	0.5680168396
126	0.5672663888
127	0.5667086716
128	0.5661016711
129	0.565373072
130	0.5646925773
131	0.5639839394
132	0.563206784
133	0.5626783427
134	0.5621241214
135	0.5617297403
136	0.5612050186
137	0.5607285636
138	0.5603253535
139	0.5599404978
140	0.5593932952
141	0.5589937655
142	0.5587287456
143	0.558358651
144	0.5579753601
145	0.5575840106
146	0.5571205979
147	0.5568431326
148	0.5565515924
149	0.5562315645
150	0.5558958569
151	0.5555718159
152	0.5552093623
153	0.5549196246
154	0.5547880892
155	0.5544636019
156	0.554137275
157	0.5537672407
158	0.5534540344
159	0.5531497625
160	0.5528468527
161	0.552580551
162	0.5523061234
163	0.5520196034
164	0.5517479747
165	0.5516280148
166	0.5515842117
167	0.5513899077
168	0.5512119487
169	0.5508751374
170	0.5506386933
171	0.5504394316
172	0.550244225
173	0.5501294642
174	0.5499129164
175	0.5496984814
176	0.5494960931
177	0.5493678184
178	0.5490777974
179	0.5489121556
180	0.548692105
181	0.5484431943
182	0.5482855253
183	0.5481281873
184	0.5479739636
185	0.5478896665
186	0.5477840059
187	0.5477221285
188	0.5475270891
189	0.5473719767
190	0.5472255336
191	0.5470454789
192	0.5469042036
193	0.5467631234
194	0.5466921673
195	0.5464286304
196	0.5463066882
197	0.5461796122
198	0.545868507
199	0.5456594731
200	0.5456307701
201	0.5455218344
202	0.5454030578
203	0.5452188644
204	0.5450585562
205	0.5448469778
206	0.5446805775
207	0.5446321626
208	0.544495798
209	0.5443691347
210	0.5442972393
211	0.5441561015
212	0.5440720363
213	0.5439781878
214	0.5439371154
215	0.5438565445
216	0.5437713071
217	0.5436585025
218	0.5435163479
219	0.5434468659
220	0.5433762796
221	0.5433699399
222	0.5431915488
223	0.5430651972
224	0.54293383
225	0.5428955969
226	0.5427060283
227	0.5426324661
228	0.5426006047
229	0.5425315828
230	0.5423839638
231	0.5420614429
232	0.5419688596
233	0.5418620298
234	0.5417200911
235	0.5415571458
236	0.5415304382
237	0.5414742829
238	0.5414574135
239	0.5414039457
240	0.5413502297
241	0.5410309098
242	0.5409723305
243	0.5408316001
244	0.5407799704
245	0.5405487763
246	0.5404266452
247	0.5403577115
248	0.5401013826
249	0.5400489064
250	0.5398784503
251	0.5397114553
252	0.5396347291
253	0.5395722941
254	0.5395088202
255	0.5391731711
