iter	Passed	Remaining
0	0	81
1	0	65
2	0	57
3	0	48
4	0	43
5	1	43
6	1	42
7	1	42
8	1	40
9	1	38
10	1	38
11	1	37
12	2	37
13	2	37
14	2	37
15	2	37
16	2	37
17	2	38
18	3	38
19	3	38
20	3	38
21	3	37
22	3	37
23	3	36
24	3	36
25	4	36
26	4	36
27	4	35
28	4	35
29	4	35
30	4	34
31	4	34
32	5	34
33	5	33
34	5	33
35	5	33
36	5	33
37	5	33
38	5	32
39	6	32
40	6	32
41	6	32
42	6	32
43	6	32
44	6	32
45	6	31
46	7	31
47	7	31
48	7	31
49	7	31
50	7	30
51	7	30
52	8	30
53	8	30
54	8	31
55	8	31
56	8	31
57	9	31
58	9	30
59	9	30
60	9	30
61	9	30
62	9	30
63	9	29
64	10	31
65	10	31
66	11	31
67	11	31
68	11	32
69	12	31
70	12	31
71	12	31
72	12	31
73	12	30
74	12	30
75	12	30
76	13	30
77	13	30
78	13	29
79	13	29
80	13	29
81	13	29
82	13	29
83	14	28
84	14	28
85	14	28
86	14	28
87	14	27
88	24	46
89	25	46
90	25	46
91	25	46
92	26	46
93	26	45
94	26	45
95	26	44
96	26	44
97	27	43
98	27	43
99	27	42
100	27	42
101	27	41
102	27	41
103	28	41
104	28	41
105	29	41
106	29	41
107	29	40
108	30	40
109	30	40
110	30	39
111	30	39
112	30	39
113	31	38
114	31	38
115	31	37
116	31	37
117	31	37
118	31	36
119	32	36
120	32	36
121	32	36
122	33	35
123	33	35
124	33	35
125	33	34
126	34	34
127	34	34
128	34	33
129	34	33
130	34	33
131	34	32
132	34	32
133	35	32
134	35	31
135	35	31
136	35	31
137	35	30
138	36	30
139	36	30
140	36	29
141	36	29
142	36	28
143	36	28
144	37	28
145	37	28
146	37	27
147	37	27
148	37	27
149	37	26
150	38	26
151	38	26
152	38	26
153	39	25
154	39	25
155	39	25
156	39	25
157	40	24
158	40	24
159	40	24
160	40	23
161	40	23
162	40	23
163	41	23
164	41	22
165	41	22
166	41	22
167	41	21
168	41	21
169	42	21
170	43	21
171	43	21
172	43	21
173	44	20
174	44	20
175	44	20
176	44	20
177	45	19
178	45	19
179	45	19
180	45	18
181	45	18
182	45	18
183	46	18
184	46	17
185	46	17
186	46	17
187	46	16
188	46	16
189	47	16
190	47	16
191	47	15
192	47	15
193	47	15
194	47	14
195	48	14
196	48	14
197	48	14
198	48	13
199	49	13
200	49	13
201	49	13
202	49	12
203	49	12
204	49	12
205	50	12
206	50	11
207	50	11
208	50	11
209	50	11
210	50	10
211	50	10
212	51	10
213	51	10
214	51	9
215	51	9
216	51	9
217	51	9
218	52	8
219	52	8
220	52	8
221	52	8
222	52	7
223	53	7
224	53	7
225	53	7
226	53	6
227	53	6
228	53	6
229	53	6
230	53	5
231	54	5
232	54	5
233	54	5
234	54	4
235	54	4
236	55	4
237	55	4
238	55	3
239	55	3
240	55	3
241	55	3
242	55	2
243	56	2
244	56	2
245	56	2
246	56	2
247	57	1
248	57	1
249	57	1
250	58	1
251	58	0
252	58	0
253	58	0
254	58	0
255	59	0
